error:                       coefficent of determination:
72.14732676677873                 0.029252689869226245
72.17451772642411                 0.028520839470601356
72.20011348868191                 0.02783167216963367
72.22381509792106                 0.027193287137402655
72.24535445451505                 0.026612959023619154
72.2644984118059                 0.026097024151064074
72.28105199106788                 0.02565079046956864
72.29486065576869                 0.025278473068423457
72.3058116266658                 0.024983155934716006
72.31383425779863                 0.024766779567032104
72.31889952794839                 0.024630153075637318
72.32101873084413                 0.024572988574991905
72.3202414691328                 0.024593955038334392
72.31665307137553                 0.024690748355327807
72.31037155816695                 0.024860174113085498
72.30154428349009                 0.025098239594054883
72.29034437158572                 0.02540025162568227
72.27696705914187                 0.02576091719338469
72.26162603880165                 0.026174444103660988
72.24454988413375                 0.02663463942169475
72.22597861948111                 0.027135003873966834
72.20616048150363                 0.027668820872158495
72.18534890354779                 0.028229239256972294
72.16379973979457                 0.028809349262228334
72.14176873382993                 0.029402251549506153
72.11950922605531                 0.030001119455474456
72.09727008626376                 0.03059925482596426
72.0752938517057                 0.0311901379839441
72.05381504693001                 0.03176747249632195
72.03305865944786                 0.03232522547163508
72.01323874463905                 0.03285766414258384
71.99455713411761                 0.033359389469452605
71.97720222381639                 0.03382536744783826
71.96134782117743                 0.03425095872149597
71.94715203490496                 0.03463194699249117
71.93475619561856                 0.034964566589940294
71.92428380131639                 0.035245529408660436
71.91583948769625                 0.035472051263369275
71.90950802994988                 0.03564187752618797
71.90535338947966                 0.03575330772927865
71.9034178258874                 0.0358052186255885
71.90372110130693                 0.035797085015188634
71.90625981039652                 0.0357289974703483
71.9110068747236                 0.03560167593851782
71.91791124446247                 0.03541647807945425
71.92689785285852                 0.03517540111242323
71.93786786934638                 0.03488107592392875
71.95069929513812                 0.0345367522272777
71.96524794017299                 0.034146273682564954
71.98134881232083                 0.03371404208640072
71.99881793860189                 0.03324497002753646
72.01745462408526                 0.03274442177446024
72.03704413747231                 0.03221814260408462
72.05736079383675                 0.031672177279593705
72.07817138552093                 0.031112778915691197
72.09923889292932                 0.030546310000020283
72.12032638921612                 0.02997913783495798
72.14120103797156                 0.02941752708720491
72.16163807223208                 0.02886753244799778
72.18142463751879                 0.028334894584114645
72.20036338186698                 0.02782494257743373
72.21827568223564                 0.027342505898629743
72.23500440909301                 0.02689183864176281
72.25041614869026                 0.026476558277816142
72.26440282445677                 0.026099600595770767
72.27688268364149                 0.025763191828457543
72.28780064115558                 0.02546883825205537
72.29712799786962                 0.025217332849310825
72.3048615738302                 0.025008777981160413
72.3110223166789                 0.024842622456695884
72.31565346102256                 0.024717710955111105
72.31881832506157                 0.024632343451966077
72.32059783628618                 0.024584342140893556
72.321087878727                 0.024571123315177745
72.32039655063255                 0.024589771767055457
72.31864141430114                 0.024637115455346636
72.31594680999953                 0.02470979845959087
72.31244129437871                 0.024804350555543975
72.30825525142545                 0.024917252088039743
72.30351871154755                 0.025044993160924123
72.2983594025232                 0.02518412649192625
72.29290104523706                 0.02533131357922036
72.28726189770654                 0.025483364086793525
